country,station,yield
Zimbabwe,Shamva,8.06668907563025
Zimbabwe,Harare,8.05410420168067
Zimbabwe,Shamva,8.0476862745098
Zimbabwe,Chisumbanje,8.04414775255897
Zimbabwe,Harare,8.04143327731092
Zimbabwe,Harare,8.03858823529412
Zimbabwe,Harare,8.03257295238095
Zimbabwe,Harare,8.02373557422969
Zimbabwe,Harare,8.02234920634921
Zimbabwe,Harare,8.00335058823529
Zimbabwe,Harare,7.95051383753501
Zimbabwe,Harare,7.94593344537815
Zimbabwe,Chisumbanje,7.92380952380952
Zimbabwe,Harare,7.91964444444444
Zimbabwe,Harare,7.90892997198879
Zimbabwe,Harare,7.90076056022409
Zimbabwe,Shamva,7.89566386554622
Zimbabwe,Harare,7.86037602240896
Zimbabwe,Harare,7.85561098039216
Zimbabwe,Shamva,7.8492324929972
Zimbabwe,Harare,7.83161904761905
Zimbabwe,Harare,7.81824
Zimbabwe,Harare,7.81628235294118
Zimbabwe,Harare,7.78590679365079
Zimbabwe,Harare,7.76629422969188
Zimbabwe,Harare,7.75572078431373
Zimbabwe,Harare,7.74339047619048
Zimbabwe,Shamva,7.69075630252101
Zimbabwe,Harare,7.68633546218487
Zimbabwe,Harare,7.67902476190476
Zimbabwe,Shamva,7.67211204481793
Zimbabwe,Shamva,7.65346778711485
Zimbabwe,Shamva,7.64414565826331
Zimbabwe,Harare,7.61622146031746
Zimbabwe,Harare,7.60394218487395
Zimbabwe,Shamva,7.60112044817927
Zimbabwe,Shamva,7.56526610644258
Zimbabwe,Harare,7.53117221288515
Zimbabwe,Harare,7.51073117460317
Zimbabwe,Harare,7.45463394957983
Zimbabwe,Harare,7.45170823529412
Zimbabwe,Harare,7.4464268907563
Zimbabwe,Chisumbanje,7.44245660881175
Zimbabwe,Harare,7.43160112044818
Zimbabwe,Harare,7.42916063492063
Zimbabwe,Harare,7.40811652661064
Zimbabwe,Harare,7.37788235294118
Zimbabwe,Chisumbanje,7.34846461949266
Zimbabwe,Harare,7.33636302521008
Zimbabwe,Harare,7.32055568253968
Zimbabwe,Kwekwe,7.30641568627451
Zimbabwe,Harare,7.30526476190476
Zimbabwe,Harare,7.30046028011205
Zimbabwe,Kwekwe,7.29926274509804
Zimbabwe,Chisumbanje,7.28480640854473
Zimbabwe,Chisumbanje,7.28010680907877
Zimbabwe,Kwekwe,7.25243697478992
Zimbabwe,Kwekwe,7.24867226890756
Zimbabwe,Chisumbanje,7.24393413440142
Zimbabwe,Harare,7.24329650793651
Zimbabwe,Harare,7.23935731092437
Zimbabwe,Harare,7.23251271708683
Zimbabwe,Harare,7.23215058823529
Zimbabwe,Chisumbanje,7.18732549019608
Zimbabwe,Harare,7.18663111111111
Zimbabwe,Harare,7.16628616246499
Zimbabwe,Kwekwe,7.16423529411765
Zimbabwe,Harare,7.16363652661065
Zimbabwe,Harare,7.15546352941176
Zimbabwe,Harare,7.11996952380952
Zimbabwe,Chisumbanje,7.1157781512605
Zimbabwe,Harare,7.09877028571429
Zimbabwe,Harare,7.09641680672269
Zimbabwe,Chisumbanje,7.08726319327731
Zimbabwe,Harare,7.04296156862745
Zimbabwe,Harare,7.0215350140056
Zimbabwe,Harare,7.01387377777778
Zimbabwe,Harare,6.98999036414566
Zimbabwe,Harare,6.98896492997199
Zimbabwe,Harare,6.97690615873016
Zimbabwe,Chisumbanje,6.97027226890756
Zimbabwe,Chisumbanje,6.95126050420168
Zimbabwe,Harare,6.9130218487395
Zimbabwe,Harare,6.90457456582633
Zimbabwe,Chisumbanje,6.89400470588235
Zimbabwe,Harare,6.89135746031746
Zimbabwe,Harare,6.89025219047619
Zimbabwe,Chisumbanje,6.87761568627451
Zimbabwe,Harare,6.87485561904762
Zimbabwe,Harare,6.86711574229692
Zimbabwe,Kwekwe,6.8067675070028
Zimbabwe,Chisumbanje,6.80658655985759
Zimbabwe,Harare,6.80446924369748
Zimbabwe,Chisumbanje,6.798753894081
Zimbabwe,Chisumbanje,6.79092122830441
Zimbabwe,Harare,6.78711574229692
Zimbabwe,Kwekwe,6.7843943977591
Zimbabwe,Chisumbanje,6.78308856252781
Zimbabwe,Harare,6.76565691876751
Zimbabwe,Chisumbanje,6.75175789942145
Zimbabwe,Chisumbanje,6.74392523364486
Zimbabwe,Harare,6.74081523809524
Zimbabwe,Harare,6.73743644444444
Zimbabwe,Kwekwe,6.72139831932773
Zimbabwe,Chisumbanje,6.7167731092437
Zimbabwe,Chisumbanje,6.71557019607843
Zimbabwe,Harare,6.71214933333333
Zimbabwe,Chisumbanje,6.70329904761905
Zimbabwe,Chisumbanje,6.68909657320872
Zimbabwe,Chisumbanje,6.6887350140056
Zimbabwe,Chisumbanje,6.68126390743213
Zimbabwe,Kwekwe,6.67471596638655
Zimbabwe,Harare,6.67285154061625
Zimbabwe,Harare,6.65274621848739
Zimbabwe,Harare,6.63576380952381
Zimbabwe,Harare,6.59768076190476
Zimbabwe,Harare,6.57692444444444
Zimbabwe,Harare,6.54330107936508
Zimbabwe,Harare,6.53659966386555
Zimbabwe,Chisumbanje,6.51025210084034
Zimbabwe,Harare,6.50615466666667
Zimbabwe,Harare,6.45863798319328
Zimbabwe,Kwekwe,6.44501512605042
Zimbabwe,Harare,6.42377955555556
Zimbabwe,Harare,6.41898845938375
Zimbabwe,Harare,6.41243966386555
Zimbabwe,Kwekwe,6.40616694677871
Zimbabwe,Harare,6.40105650793651
Zimbabwe,Chisumbanje,6.39001815126051
Zimbabwe,Chisumbanje,6.38147764705882
Zimbabwe,Chisumbanje,6.35671663865546
Zimbabwe,Chisumbanje,6.35663058823529
Zimbabwe,Harare,6.35361882352941
Zimbabwe,Kwekwe,6.31864649859944
Zimbabwe,Kwekwe,6.31036414565826
Zimbabwe,Harare,6.30714920634921
Zimbabwe,Chisumbanje,6.27877647058824
Zimbabwe,Kwekwe,6.27099607843137
Zimbabwe,Chisumbanje,6.26613262127281
Zimbabwe,Harare,6.25613445378151
Zimbabwe,Chisumbanje,6.23765020026702
Zimbabwe,Harare,6.2375619047619
Zimbabwe,Kwekwe,6.23148459383754
Zimbabwe,Harare,6.21145994397759
Zimbabwe,Chisumbanje,6.21025882352941
Zimbabwe,Chisumbanje,6.20204717400979
Zimbabwe,Chisumbanje,6.19492392156863
Zimbabwe,Chisumbanje,6.19443988795518
Zimbabwe,Chisumbanje,6.1878059635069
Zimbabwe,Kwekwe,6.18729411764706
Zimbabwe,Kwekwe,6.18057142857143
Zimbabwe,Chisumbanje,6.16644414775256
Zimbabwe,Harare,6.16115271708683
Zimbabwe,Chisumbanje,6.13859495798319
Zimbabwe,Chisumbanje,6.13796172674677
Zimbabwe,Chisumbanje,6.12372051624388
Zimbabwe,Chisumbanje,6.10947930574099
Zimbabwe,Chisumbanje,6.10235870048954
Zimbabwe,Kwekwe,6.08062745098039
Zimbabwe,Chisumbanje,6.05963506898086
Zimbabwe,Chisumbanje,6.04495238095238
Zimbabwe,Chisumbanje,6.04013714285714
Zimbabwe,Kwekwe,6.02541176470588
Zimbabwe,Harare,6.0
Zimbabwe,Chisumbanje,5.98089142857143
Zimbabwe,Harare,5.97944076190476
Zimbabwe,Kwekwe,5.95868683473389
Zimbabwe,Harare,5.95454924369748
Zimbabwe,Kwekwe,5.95291428571429
Zimbabwe,Harare,5.94391484593838
Zimbabwe,Kwekwe,5.93174229691877
Zimbabwe,Chisumbanje,5.92587652661064
Zimbabwe,Harare,5.91868546031746
Zimbabwe,Chisumbanje,5.90787226890756
Zimbabwe,Chisumbanje,5.89616941176471
Zimbabwe,Harare,5.87114666666667
Zimbabwe,Kwekwe,5.87104089635854
Zimbabwe,Kwekwe,5.86890756302521
Zimbabwe,Harare,5.86251831932773
Zimbabwe,Chisumbanje,5.83814633053221
Zimbabwe,Chisumbanje,5.83493557422969
Zimbabwe,Harare,5.82136888888889
Zimbabwe,Chisumbanje,5.79391462184874
Zimbabwe,Chisumbanje,5.77242352941176
Zimbabwe,Kwekwe,5.75736470588235
Zimbabwe,Chisumbanje,5.74630364145658
Zimbabwe,Chisumbanje,5.7382668907563
Zimbabwe,Harare,5.71430901960784
Zimbabwe,Harare,5.68944582633053
Zimbabwe,Chisumbanje,5.68437917222964
Zimbabwe,Chisumbanje,5.65729882352941
Zimbabwe,Chisumbanje,5.65225949579832
Zimbabwe,Chisumbanje,5.63951935914553
Zimbabwe,Chisumbanje,5.6277512605042
Zimbabwe,Harare,5.61579025210084
Zimbabwe,Chisumbanje,5.60977030812325
Zimbabwe,Chisumbanje,5.59533176470588
Zimbabwe,Chisumbanje,5.59465954606142
Zimbabwe,Harare,5.59265344537815
Zimbabwe,Chisumbanje,5.58184245660881
Zimbabwe,Kwekwe,5.57832605042017
Zimbabwe,Chisumbanje,5.56902536715621
Zimbabwe,Harare,5.56690285714286
Zimbabwe,Chisumbanje,5.56261682242991
Zimbabwe,Chisumbanje,5.55948638655462
Zimbabwe,Kwekwe,5.55294117647059
Zimbabwe,Chisumbanje,5.54817075630252
Zimbabwe,Harare,5.54728838095238
Zimbabwe,Kwekwe,5.54049971988796
Zimbabwe,Kwekwe,5.53044257703081
Zimbabwe,Chisumbanje,5.52652369747899
Zimbabwe,Harare,5.52248888888889
Zimbabwe,Chisumbanje,5.51134846461949
Zimbabwe,Chisumbanje,5.49212283044059
Zimbabwe,Kwekwe,5.48071260504202
Zimbabwe,Harare,5.47774984126984
Zimbabwe,Chisumbanje,5.46648865153538
Zimbabwe,Chisumbanje,5.44507338935574
Zimbabwe,Chisumbanje,5.41074285714286
Zimbabwe,Chisumbanje,5.39386980392157
Zimbabwe,Chisumbanje,5.39019831932773
Zimbabwe,Chisumbanje,5.38891294117647
Zimbabwe,Harare,5.38446162464986
Zimbabwe,Chisumbanje,5.36734117647059
Zimbabwe,Chisumbanje,5.3618106442577
Zimbabwe,Chisumbanje,5.34763921568628
Zimbabwe,Harare,5.33291073015873
Zimbabwe,Chisumbanje,5.32233322128852
Zimbabwe,Chisumbanje,5.31392
Zimbabwe,Chisumbanje,5.31074509803922
Zimbabwe,Chisumbanje,5.28479731092437
Zimbabwe,Chisumbanje,5.28448
Zimbabwe,Chisumbanje,5.27905882352941
Zimbabwe,Chisumbanje,5.26645960784314
Zimbabwe,Harare,5.26393092063492
Zimbabwe,Chisumbanje,5.24832268907563
Zimbabwe,Chisumbanje,5.2224
Zimbabwe,Harare,5.22175462184874
Zimbabwe,Harare,5.16648838095238
Zimbabwe,Chisumbanje,5.16133826330532
Zimbabwe,Harare,5.15274768253968
Zimbabwe,Harare,5.13979159663866
Zimbabwe,Chisumbanje,5.11444974789916
Zimbabwe,Harare,5.09427450980392
Zimbabwe,Chisumbanje,5.07984672268908
Zimbabwe,Chisumbanje,5.06352941176471
Zimbabwe,Chisumbanje,5.02145082331998
Zimbabwe,Chisumbanje,5.01985882352941
Zimbabwe,Chisumbanje,5.01519058823529
Zimbabwe,Chisumbanje,5.01462946778712
Zimbabwe,Chisumbanje,5.01400201680672
Zimbabwe,Harare,5.01396078431373
Zimbabwe,Chisumbanje,4.99581664441478
Zimbabwe,Harare,4.99524481792717
Zimbabwe,Chisumbanje,4.98387719887955
Zimbabwe,Chisumbanje,4.9787271918113
Zimbabwe,Chisumbanje,4.96163773920783
Zimbabwe,Harare,4.95573333333333
Zimbabwe,Chisumbanje,4.94801568627451
Zimbabwe,Chisumbanje,4.92729366946779
Zimbabwe,Harare,4.9116181512605
Zimbabwe,Chisumbanje,4.90116302521008
Zimbabwe,Chisumbanje,4.89961411764706
Zimbabwe,Chisumbanje,4.89897641299511
Zimbabwe,Chisumbanje,4.89773176470588
Zimbabwe,Chisumbanje,4.88555025210084
