"country","year","location","yield","region","average_temperature","SUM_PRCP","log_yield"
"Zimbabwe","2021","Chiredzi",3.33697613445378,"Region 4",24.3333333333333,109.2,1.20506504794677
"Zimbabwe","2021","Chiredzi",2.74509803921569,"Region 4",24.3333333333333,109.2,1.00981678988498
"Zimbabwe","2021","Chiredzi",3.87655529411765,"Region 4",24.3333333333333,109.2,1.35494694850334
"Zimbabwe","2021","Chiredzi",3.26932078431373,"Region 4",24.3333333333333,109.2,1.18458225211516
"Zimbabwe","2021","Chiredzi",3.51485848739496,"Region 4",24.3333333333333,109.2,1.2569992648206
"Zimbabwe","2021","Chiredzi",3.37048739495798,"Region 4",24.3333333333333,109.2,1.21505736149068
"Zimbabwe","2021","Chiredzi",4.29531428571429,"Region 4",24.3333333333333,109.2,1.45752472754703
"Zimbabwe","2021","Chiredzi",3.97059226890756,"Region 4",24.3333333333333,109.2,1.37891526969477
"Zimbabwe","2021","Chiredzi",2.77615327731092,"Region 4",24.3333333333333,109.2,1.0210662562899
"Zimbabwe","2021","Chiredzi",5.01400201680672,"Region 4",24.3333333333333,109.2,1.61223440197111
"Zimbabwe","2021","Chiredzi",3.98441232492997,"Region 4",24.3333333333333,109.2,1.38238982958044
"Zimbabwe","2021","Chiredzi",4.13993411764706,"Region 4",24.3333333333333,109.2,1.42067987409878
"Zimbabwe","2021","Chiredzi",4.4139025210084,"Region 4",24.3333333333333,109.2,1.48475922354184
"Zimbabwe","2021","Chiredzi",4.10272268907563,"Region 4",24.3333333333333,109.2,1.41165082381926
"Zimbabwe","2021","Chiredzi",4.57164369747899,"Region 4",24.3333333333333,109.2,1.51987281146071
"Zimbabwe","2021","Chiredzi",2.00761366946779,"Region 4",24.3333333333333,109.2,0.696946787635688
"Zimbabwe","2021","Chiredzi",3.52820168067227,"Region 4",24.3333333333333,109.2,1.26078830223408
"Zimbabwe","2021","Chiredzi",3.05882352941176,"Region 4",24.3333333333333,109.2,1.11803037452521
"Zimbabwe","2021","Chiredzi",3.57647058823529,"Region 4",24.3333333333333,109.2,1.2743764449159
"Zimbabwe","2021","Chiredzi",3.70196078431373,"Region 4",24.3333333333333,109.2,1.30886262098708
