"country","year","location","yield","anthesisDate","Asi","plant_height","ear_position","stem_lodging","Epp","Ear_rot","region","total_precipitation","average_temperature","log_yield"
"Zimbabwe","2021","Chiredzi",3.33697613445378,"76","4","210","0.6","3.125","0.5","9.375","Region 4",109.2,26.1666666666667,1.20506504794677
"Zimbabwe","2021","Chiredzi",2.74509803921569,"78","1","200.51","0.56825096005186804","14.285714285714301","1.4285714285714299","10","Region 4",109.2,26.1666666666667,1.00981678988498
"Zimbabwe","2021","Chiredzi",3.87655529411765,"77","0","215.93","0.57953966563238102","0","0.67647058823529405","2.1739130434782599","Region 4",109.2,26.1666666666667,1.35494694850334
"Zimbabwe","2021","Chiredzi",3.26932078431373,"76","0","217.03","0.67723356218034403","3.125","0.84375","3.7037037037037002","Region 4",109.2,26.1666666666667,1.18458225211516
"Zimbabwe","2021","Chiredzi",3.51485848739496,"72","2","193.87","0.53546190746376399","0","0.79411764705882304","0","Region 4",109.2,26.1666666666667,1.2569992648206
"Zimbabwe","2021","Chiredzi",3.37048739495798,"71","2","230.91","0.54016716469620196","0","0.76470588235294101","5.7692307692307701","Region 4",109.2,26.1666666666667,1.21505736149068
"Zimbabwe","2021","Chiredzi",4.29531428571429,"76","1","232.56","0.67754557963536299","5.8823529411764701","0.85294117647058798","1.72413793103448","Region 4",109.2,26.1666666666667,1.45752472754703
"Zimbabwe","2021","Chiredzi",3.97059226890756,"76","0","230.34","0.75028219154293696","0","0.85294117647058798","3.4482758620689702","Region 4",109.2,26.1666666666667,1.37891526969477
"Zimbabwe","2021","Chiredzi",2.77615327731092,"76","1","241.72","0.69551547244746004","0","0.60606060606060597","10","Region 4",109.2,26.1666666666667,1.0210662562899
"Zimbabwe","2021","Chiredzi",5.01400201680672,"76","-2","218.2","0.634784601283226","14.705882352941201","0.70588235294117696","12.5","Region 4",109.2,26.1666666666667,1.61223440197111
"Zimbabwe","2021","Chiredzi",3.98441232492997,"76","1","249.38","0.62899991980110703","3.3333333333333299","0.83333333333333304","2","Region 4",109.2,26.1666666666667,1.38238982958044
"Zimbabwe","2021","Chiredzi",4.13993411764706,"76","2","248.5","0.53086519114688102","5.8823529411764701","0.73529411764705899","0","Region 4",109.2,26.1666666666667,1.42067987409878
"Zimbabwe","2021","Chiredzi",4.4139025210084,"76","0","259.38","0.69064692728814903","0","0.84375","0","Region 4",109.2,26.1666666666667,1.48475922354184
"Zimbabwe","2021","Chiredzi",4.10272268907563,"76","1","257.27999999999997","0.60300062189054704","0","0.8","4.1666666666666696","Region 4",109.2,26.1666666666667,1.41165082381926
"Zimbabwe","2021","Chiredzi",4.57164369747899,"76","-1","237.23","0.50018968933102903","3.2258064516128999","0.77419354838709697","6.25","Region 4",109.2,26.1666666666667,1.51987281146071
"Zimbabwe","2021","Chiredzi",2.00761366946779,"80","-1","246.78","0.62813031850231005","6.6666666666666696","0.73333333333333295","13.636363636363599","Region 4",109.2,26.1666666666667,0.696946787635688
"Zimbabwe","2021","Chiredzi",3.52820168067227,"80","2","247.83","0.68756809103014205","6.4516129032258096","0.483870967741935","13.3333333333333","Region 4",109.2,26.1666666666667,1.26078830223408
"Zimbabwe","2021","Chiredzi",3.05882352941176,"76","2","234.31","0.69804959242029796","3.2258064516128999","0.41935483870967699","19.230769230769202","Region 4",109.2,26.1666666666667,1.11803037452521
"Zimbabwe","2021","Chiredzi",3.57647058823529,"80","1","212.81","0.621634321695409","3.2258064516128999","0.61290322580645196","13.157894736842101","Region 4",109.2,26.1666666666667,1.2743764449159
"Zimbabwe","2021","Chiredzi",3.70196078431373,"70","2","196.63","0.56502059706046903","25","0.53125","26.470588235294102","Region 4",109.2,26.1666666666667,1.30886262098708
"Zimbabwe","2021","Chiredzi",4.0655524929972,"79","0","221.89","0.69768804362521997","3.0303030303030298","0.72727272727272696","4.1666666666666696","Region 4",109.2,26.1666666666667,1.40254964840067
"Zimbabwe","2021","Chiredzi",2.80190028011204,"80","1","239.01","0.70264842475210199","9.375","0.71875","8.6956521739130395","Region 4",109.2,26.1666666666667,1.03029785845641
"Zimbabwe","2021","Chiredzi",3.84941176470588,"77","2","233.59","0.68016610300098501","13.7931034482759","0.75862068965517204","6.8181818181818201","Region 4",109.2,26.1666666666667,1.34792034823827
"Zimbabwe","2021","Chiredzi",3.36326095238095,"79","-2","241.2","0.62247097844112798","10","0.8","8.3333333333333304","Region 4",109.2,26.1666666666667,1.21291102486552
"Zimbabwe","2021","Chiredzi",4.3605781512605,"76","1","241.3","0.64467467882304197","0","0.625","5","Region 4",109.2,26.1666666666667,1.47260465206999
"Zimbabwe","2021","Chiredzi",3.97475495798319,"78","-1","230.36","0.64568501475950701","0","0.83333333333333304","6","Region 4",109.2,26.1666666666667,1.37996310041572
"Zimbabwe","2021","Chiredzi",4.22457008403361,"76","1","232.98","0.60760580307322498","11.764705882352899","0.76470588235294101","9.6153846153846096","Region 4",109.2,26.1666666666667,1.4409175003734
"Zimbabwe","2021","Chiredzi",3.63003697478992,"76","-2","244.77","0.57478449156350897","0","0.84375","3.7037037037037002","Region 4",109.2,26.1666666666667,1.28924283411742
"Zimbabwe","2021","Chiredzi",4.08774274509804,"72","1","248","0.64008064516129004","24.2424242424242","0.81818181818181801","1.8518518518518501","Region 4",109.2,26.1666666666667,1.40799292163997
"Zimbabwe","2021","Chiredzi",4.73898128851541,"74","-1","240.97","0.66431505996597096","18.181818181818201","0.84848484848484895","7.1428571428571397","Region 4",109.2,26.1666666666667,1.55582219457407
"Zimbabwe","2021","Chiredzi",4.52185994397759,"77","0","244.41","0.502598093367702","15.625","0.90625","12.0689655172414","Region 4",109.2,26.1666666666667,1.50892340123495
"Zimbabwe","2021","Chiredzi",4.0271937254902,"76","1","230.13","0.61247990266371199","0","0.90625","15.517241379310301","Region 4",109.2,26.1666666666667,1.39306978736487
"Zimbabwe","2021","Chiredzi",4.11907226890756,"77","1","227.43","0.67924196456052399","0","0.8125","5.7692307692307701","Region 4",109.2,26.1666666666667,1.41562796055557
"Zimbabwe","2021","Chiredzi",4.20537366946779,"76","2","233.25","0.63506966773847795","0","0.81818181818181801","11.1111111111111","Region 4",109.2,26.1666666666667,1.43636315260828
"Zimbabwe","2021","Chiredzi",2.20948974789916,"80","1","246.25","0.60158375634517802","0","0.78947368421052599","6.6666666666666696","Region 4",109.2,26.1666666666667,0.792761605568461
"Zimbabwe","2021","Chiredzi",4.60326722689076,"76","1","243.05","0.72803949804567003","0","0.84848484848484895","8.9285714285714306","Region 4",109.2,26.1666666666667,1.5267663180904
"Zimbabwe","2021","Chiredzi",3.25632537815126,"82","0","227.83","0.75047184304086401","12.1212121212121","0.63636363636363602","9.5238095238095202","Region 4",109.2,26.1666666666667,1.18059937501208
"Zimbabwe","2021","Chiredzi",4.65095350140056,"76","0","232.89","0.540641504572974","0","0.88235294117647101","6.6666666666666696","Region 4",109.2,26.1666666666667,1.53707225264319
"Zimbabwe","2021","Chiredzi",4.76011204481793,"79","0","236.26","0.56848387369846798","3.125","0.90625","3.4482758620689702","Region 4",109.2,26.1666666666667,1.56027120679359
"Zimbabwe","2021","Chiredzi",4.72972369747899,"76","-2","235.1","0.68417694598043399","2.9411764705882399","0.82352941176470595","5.3571428571428603","Region 4",109.2,26.1666666666667,1.55386678588832
"Zimbabwe","2021","Chiredzi",5.77242352941176,"76","1","227.18","0.544414120961352","0","0.86666666666666703","3.8461538461538498","Region 4",109.2,26.1666666666667,1.75309201476366
"Zimbabwe","2021","Chiredzi",5.2224,"76","-1","238.41","0.60182039343987204","3.5714285714285698","1.03571428571429","13.7931034482759","Region 4",109.2,26.1666666666667,1.6529570663476
"Zimbabwe","2021","Chiredzi",4.88555025210084,"77","1","251.4","0.64339697692919695","6.25","0.8125","1.92307692307692","Region 4",109.2,26.1666666666667,1.58628192031822
"Zimbabwe","2021","Chiredzi",4.02188907563025,"78","2","262.61","0.63988423898556801","0","0.79310344827586199","4.3478260869565197","Region 4",109.2,26.1666666666667,1.39175171156444
"Zimbabwe","2021","Chiredzi",3.76594285714286,"77","2","228.93","0.62896955401214305","0","0.79310344827586199","15.2173913043478","Region 4",109.2,26.1666666666667,1.32599825676426
"Zimbabwe","2021","Chiredzi",4.46427966386555,"77","1","234.51","0.72542748710076299","13.3333333333333","0.86666666666666703","1.92307692307692","Region 4",109.2,26.1666666666667,1.49610787183206
"Zimbabwe","2021","Chiredzi",3.51789176470588,"80","5","212.58","0.75642111205193296","11.1111111111111","0.81481481481481499","9.0909090909090899","Region 4",109.2,26.1666666666667,1.25786187969821
"Zimbabwe","2021","Chiredzi",3.59525647058824,"78","1","223.99","0.69016473949729895","0","0.75862068965517204","11.363636363636401","Region 4",109.2,26.1666666666667,1.27961532954304
"Zimbabwe","2021","Chiredzi",5.41074285714286,"76","1","224.94","0.68649417622477105","0","0.875","8.9285714285714306","Region 4",109.2,26.1666666666667,1.68838639528833
"Zimbabwe","2021","Chiredzi",5.28448,"70","-1","219.97","0.52925398918034305","3.125","0.84375","3.7037037037037002","Region 4",109.2,26.1666666666667,1.66477422280687
"Zimbabwe","2021","Chiredzi",4.49873389355742,"79","0","235.13","0.63296899587462296","2.9411764705882399","0.70588235294117696","4.1666666666666696","Region 4",109.2,26.1666666666667,1.50379600020073
"Zimbabwe","2021","Chiredzi",4.27848067226891,"78","0","232.64","0.63290921595598404","11.764705882352899","0.79411764705882304","5.5555555555555598","Region 4",109.2,26.1666666666667,1.45359796345754
"Zimbabwe","2021","Chiredzi",5.6277512605042,"76","2","225.51","0.59558334441931604","2.9411764705882399","0.88235294117647101","8.3333333333333304","Region 4",109.2,26.1666666666667,1.72770994149224
"Zimbabwe","2021","Chiredzi",2.2848,"79","2","235.7","0.63924480271531603","0","0.75","12.5","Region 4",109.2,26.1666666666667,0.826278493163128
"Zimbabwe","2021","Chiredzi",4.29057254901961,"79","0","250.59","0.617622411109781","0","0.80645161290322598","12","Region 4",109.2,26.1666666666667,1.45642018534469
"Zimbabwe","2021","Chiredzi",4.68623238095238,"79","0","241.12","0.60637856668878598","0","0.84848484848484895","3.5714285714285698","Region 4",109.2,26.1666666666667,1.54462892932816
"Zimbabwe","2021","Chiredzi",3.62496,"76","1","220.08","0.53362413667757203","2.9411764705882399","0.73529411764705899","4","Region 4",109.2,26.1666666666667,1.287843253763
"Zimbabwe","2021","Chiredzi",4.44393949579832,"71","3","230.31","0.66093526116972801","3.0303030303030298","0.87878787878787901","3.4482758620689702","Region 4",109.2,26.1666666666667,1.49154125687784
"Zimbabwe","2021","Chiredzi",5.89616941176471,"76","1","236.6","0.54687235841082005","6.25","0.90625","5.1724137931034502","Region 4",109.2,26.1666666666667,1.7743028878129
"Zimbabwe","2021","Chiredzi",6.51025210084034,"77","-1","219.44","0.68164418519868797","0","0.71875","10.869565217391299","Region 4",109.2,26.1666666666667,1.87337818063816
"Zimbabwe","2021","Chiredzi",5.55948638655462,"76","1","227.93","0.625279691133243","6.0606060606060597","0.87878787878787901","5.1724137931034502","Region 4",109.2,26.1666666666667,1.71550572747656
"Zimbabwe","2021","Chiredzi",3.96227764705882,"79","0","239.42","0.64113273744883503","0","0.82142857142857095","6.5217391304347796","Region 4",109.2,26.1666666666667,1.37681902332201
"Zimbabwe","2021","Chiredzi",4.52896806722689,"76","0","239.14","0.70582085807476802","9.67741935483871","0.87096774193548399","7.4074074074074101","Region 4",109.2,26.1666666666667,1.51049411381548
"Zimbabwe","2021","Chiredzi",3.09946084033613,"76","1","221","0.51389140271493206","3.4482758620689702","0.75862068965517204","9.0909090909090899","Region 4",109.2,26.1666666666667,1.13122817389262
"Zimbabwe","2021","Chiredzi",4.55678924369748,"81","-2","251.93","0.61552812289127901","0","0.78125","12","Region 4",109.2,26.1666666666667,1.51661826229792
"Zimbabwe","2021","Chiredzi",2.29349647058823,"79","3","247.69","0.69207477088295899","0","0.61290322580645196","13.157894736842101","Region 4",109.2,26.1666666666667,0.830077496178052
"Zimbabwe","2021","Chiredzi",4.16115092436975,"76","0","222.76","0.66775902316394298","0","0.87096774193548399","5.5555555555555598","Region 4",109.2,26.1666666666667,1.42579170052056
