"country","year","location","yield"
"Zimbabwe",2021,"Chisumbanje","4.19343417366947"
"Zimbabwe",2021,"Chisumbanje","3.39260952380952"
"Zimbabwe",2021,"Chisumbanje","3.76393142857143"
"Zimbabwe",2021,"Chisumbanje","5.90787226890756"
"Zimbabwe",2021,"Chisumbanje","3.22843966386555"
"Zimbabwe",2021,"Chisumbanje","5.11444974789916"
"Zimbabwe",2021,"Chisumbanje","3.32090084033613"
"Zimbabwe",2021,"Chisumbanje","4.31273949579832"
"Zimbabwe",2021,"Chisumbanje","3.78295932773109"
"Zimbabwe",2021,"Chisumbanje","4.13403787114846"
"Zimbabwe",2021,"Chisumbanje","5.24832268907563"
"Zimbabwe",2021,"Chisumbanje","4.28737613445378"
"Zimbabwe",2021,"Chisumbanje","3.94559103641457"
"Zimbabwe",2021,"Chisumbanje","3.66675540616246"
"Zimbabwe",2021,"Chisumbanje","4.49872672268907"
"Zimbabwe",2021,"Chisumbanje","3.93914621848739"
"Zimbabwe",2021,"Chisumbanje","4.25923406162465"
"Zimbabwe",2021,"Chisumbanje","3.52496941176471"
"Zimbabwe",2021,"Chisumbanje","3.10391036414566"
"Zimbabwe",2021,"Chisumbanje","5.31074509803922"
"Zimbabwe",2021,"Chisumbanje","5.52652369747899"
"Zimbabwe",2021,"Chisumbanje","3.16791036414566"
"Zimbabwe",2021,"Chisumbanje","4.22792067226891"
"Zimbabwe",2021,"Chisumbanje","3.66642196078431"
"Zimbabwe",2021,"Chisumbanje","3.80492549019608"
"Zimbabwe",2021,"Chisumbanje","3.41452728291317"
"Zimbabwe",2021,"Chisumbanje","3.43021714285714"
"Zimbabwe",2021,"Chisumbanje","4.01774431372549"
"Zimbabwe",2021,"Chisumbanje","3.69670991596639"
"Zimbabwe",2021,"Chisumbanje","4.5840062745098"
"Zimbabwe",2021,"Chisumbanje","4.08445490196078"
"Zimbabwe",2021,"Chisumbanje","2.62704582633053"
"Zimbabwe",2021,"Chisumbanje","4.40454991596639"
"Zimbabwe",2021,"Chisumbanje","3.40720224089636"
"Zimbabwe",2021,"Chisumbanje","4.45488224089636"
"Zimbabwe",2021,"Chisumbanje","3.98203697478992"
"Zimbabwe",2021,"Chisumbanje","3.75265882352941"
"Zimbabwe",2021,"Chisumbanje","3.93784470588235"
"Zimbabwe",2021,"Chisumbanje","2.7774780952381"
"Zimbabwe",2021,"Chisumbanje","4.44423170868347"
"Zimbabwe",2021,"Chisumbanje","3.56389647058824"
"Zimbabwe",2021,"Chisumbanje","4.56795428571429"
"Zimbabwe",2021,"Chisumbanje","3.79046722689076"
"Zimbabwe",2021,"Chisumbanje","3.63862050420168"
"Zimbabwe",2021,"Chisumbanje","3.99542857142857"
"Zimbabwe",2021,"Chisumbanje","3.41238857142857"
"Zimbabwe",2021,"Chisumbanje","4.22194554621849"
"Zimbabwe",2021,"Chisumbanje","3.99913232492997"
"Zimbabwe",2021,"Chisumbanje","3.97846588235294"
"Zimbabwe",2021,"Chisumbanje","4.30087170868347"
"Zimbabwe",2021,"Chisumbanje","4.3523818487395"
"Zimbabwe",2021,"Chisumbanje","3.03972392156863"
"Zimbabwe",2021,"Chisumbanje","5.01462946778712"
"Zimbabwe",2021,"Chisumbanje","3.84707047619048"
"Zimbabwe",2021,"Chisumbanje","4.6647968627451"
"Zimbabwe",2021,"Chisumbanje","4.79792403361345"
"Zimbabwe",2021,"Chisumbanje","3.96948974789916"
"Zimbabwe",2021,"Chisumbanje","4.45314509803922"
"Zimbabwe",2021,"Chisumbanje","5.39386980392157"
"Zimbabwe",2021,"Chisumbanje","4.90116302521008"
"Zimbabwe",2021,"Chisumbanje","6.13859495798319"
"Zimbabwe",2021,"Chisumbanje","5.26645960784314"
"Zimbabwe",2021,"Chisumbanje","4.98387719887955"
